variant,agent,session_id,turn_idx,row_ts,observed_latency_ms,prompt_len,chosen,confidence,fallback,path,n_tokens_est,expected_out_tokens,projected_cost_usd,projected_latency_ms,tool_required,has_url,code_fence_count,scores_json
default,claude_code,claude_code:demo-session-001,0,2026-04-17T20:09:29.446935,1300,29,gemma4,0.6278,True,scored,7,14,0.0,1.12,False,False,0,"{""claude"": 0.5785, ""gemini"": 0.2912, ""gemma4"": 0.6278}"
default,claude_code,claude_code:demo-session-001,2,2026-04-17T20:09:29.446935,1300,41,gemma4,0.6734,False,scored,10,20,0.0,1.6,False,False,0,"{""claude"": 0.5929, ""gemini"": 0.2801, ""gemma4"": 0.6734}"
default,claude_code,claude_code:demo-session-001,4,2026-04-17T20:09:29.446935,1300,26,gemma4,0.814,False,scored,6,12,0.0,0.96,False,False,0,"{""claude"": 0.0389, ""gemini"": 0.695, ""gemma4"": 0.814}"
default,claude_code,claude_code:demo-session-001,6,2026-04-17T20:09:29.446935,1300,51,gemma4,0.6889,False,scored,12,24,0.0,1.92,False,False,0,"{""claude"": 0.4599, ""gemini"": 0.3968, ""gemma4"": 0.6889}"
default,claude_code,claude_code:demo-session-001,8,2026-04-17T20:09:29.446935,1300,22,gemma4,0.8754,False,scored,5,10,0.0,0.8,False,False,0,"{""claude"": 0.5231, ""gemini"": 0.1497, ""gemma4"": 0.8754}"
default,claude_code,claude_code:demo-session-001,10,2026-04-17T20:09:29.446935,1300,32,gemma4,0.8618,False,scored,8,16,0.0,1.28,False,False,0,"{""claude"": 0.6241, ""gemini"": 0.0612, ""gemma4"": 0.8618}"
default,claude_code,claude_code:demo-session-001,0,2026-04-18T02:00:36.022352,1300,29,gemma4,0.6778,False,scored,7,14,0.0,1.12,False,False,0,"{""claude"": 0.5785, ""gemini"": 0.2912, ""gemma4"": 0.6778}"
default,claude_code,claude_code:demo-session-001,2,2026-04-18T02:00:36.022352,1300,41,gemma4,0.6734,False,scored,10,20,0.0,1.6,False,False,0,"{""claude"": 0.5929, ""gemini"": 0.2801, ""gemma4"": 0.6734}"
default,claude_code,claude_code:demo-session-001,4,2026-04-18T02:00:36.022352,1300,26,gemma4,0.814,False,scored,6,12,0.0,0.96,False,False,0,"{""claude"": 0.0389, ""gemini"": 0.695, ""gemma4"": 0.814}"
default,claude_code,claude_code:demo-session-001,6,2026-04-18T02:00:36.022352,1300,51,gemma4,0.6889,False,scored,12,24,0.0,1.92,False,False,0,"{""claude"": 0.4599, ""gemini"": 0.3968, ""gemma4"": 0.6889}"
